,Odběratel,ID,IČO,Datum uzavření smlouvy,Cena_bez_dph,Cena_s_dph,Předmět smlouvy,zboží,ID verze,Dodavatel
0,"Zahrada, poskytovatel sociálních služeb",26564351,71234446,17.04.2024,"78 650,00 CZK","78 650,00 CZK","Objednávka - prostěradla, chrániče matrací,ložní povlečení","[{'název': 'Prostěradla, chrániče matrací, ložní povlečení', 'množství': None, 'cena bez DPH': 78650, 'cena s DPH': 78650}]",28425271,Františka Kaštylová
1,Domov pro seniory Nová slunečnice,24594195,71294287,24.10.2023,"52 200,00 CZK",,Objednávka - set přikrývky a polštáře,"[{'název': None, 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",26328639,Františka Kaštylová
2,"Domov Slunovrat, Ostrava-Přívoz, příspěvková organizace",20892809,70631841,04.11.2022,,"60 400,00 CZK",Objednávka,"[{'název': 'Set polštář 70x90 + přikrývka 140x200', 'množství': 100, 'cena bez DPH': 604.0, 'cena s dph': None}]",22428269,Františka Kaštylová
3,"Střední škola průmyslová, Krnov, příspěvková organizace",20877849,846279,16.11.2022,"104 620,00 CZK","104 620,00 CZK",Nákup prádla na doplnění skladu,"[{'název': 'Deka ""mikroflís""', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'bavlněné utěrky', 'množství': 100, 'cena bez DPH': 29, 'cena s DPH': None}, {'název': 'prostěradla', 'množství': 130, 'cena bez DPH': 225, 'cena s DPH': None}, {'název': 'povlečení', 'množství': 130, 'cena bez DPH': 299, 'cena s DPH': None}]",22412649,Františka Kaštylová
4,"Domov Magnolie, Ostrava-Vítkovice, příspěvková organizace",20830277,70631859,04.11.2022,,"60 400,00 CZK","Objednávka - sety polštáře, přikrývky","[{'název': 'Set polštář a přikrývka', 'množství': 100, 'cena bez DPH': None, 'cena s dph': 604}]",22362621,Františka Kaštylová
5,"Domov Čujkovova, Ostrava-Zábřeh, příspěvková organizace",20757117,70631875,07.11.2022,"402 440,00 CZK","402 440,00 CZK",Nákup ložního prádla,"[{'název': 'set polštář 70x90 cm, přikrývka 140x120 cm', 'množství': 400, 'cena bez DPH': None, 'cena s dph': 604}, {'název': 'žínka froté', 'množství': 4500, 'cena bez DPH': None, 'cena s dph': 10}, {'název': 'povlečení bavlna 1+1, rozměr 70x90cm, 140x200 cm', 'množství': 320, 'cena bez DPH': None, 'cena s dph': 362}]",22285885,Františka Kaštylová
6,"Domov Sluníčko, Ostrava-Vítkovice, příspěvková organizace",20721273,70631832,07.11.2022,"110 032,00 CZK",,Objednávka - povlečení 368 ks - 2. část,"[{'název': 'bavlněné povlečení', 'množství': 368, 'cena bez DPH': 299, 'cena s dph': 299}]",22248401,Františka Kaštylová
7,"Domov Sluníčko, Ostrava-Vítkovice, příspěvková organizace",20631737,70631832,25.10.2022,"110 032,00 CZK",,Objednávka - povlečení 368 ks,"[{'název': 'bavlněné povlečení', 'množství': 368, 'cena bez DPH': 299, 'cena s DPH': 299}]",22153853,Františka Kaštylová
